model,quantile,empirical_coverage,calibration_error,absolute_calibration_error
catboost_round2,0.01,0.02831050228,0.01831050228,0.01831050228
catboost_round2,0.02,0.04452054795,0.02452054795,0.02452054795
catboost_round2,0.03,0.06324200913,0.03324200913,0.03324200913
catboost_round2,0.04,0.07648401826,0.03648401826,0.03648401826
catboost_round2,0.05,0.08801369863,0.03801369863,0.03801369863
catboost_round2,0.06,0.1011415525,0.04114155251,0.04114155251
catboost_round2,0.07,0.1139269406,0.04392694064,0.04392694064
catboost_round2,0.08,0.123630137,0.04363013699,0.04363013699
catboost_round2,0.09,0.1331050228,0.04310502283,0.04310502283
catboost_round2,0.1,0.1444063927,0.04440639269,0.04440639269
catboost_round2,0.11,0.1539954338,0.04399543379,0.04399543379
catboost_round2,0.12,0.1644977169,0.04449771689,0.04449771689
catboost_round2,0.13,0.1756849315,0.04568493151,0.04568493151
catboost_round2,0.14,0.1855022831,0.04550228311,0.04550228311
catboost_round2,0.15,0.1984018265,0.04840182648,0.04840182648
catboost_round2,0.16,0.2063926941,0.04639269406,0.04639269406
catboost_round2,0.17,0.2164383562,0.04643835616,0.04643835616
catboost_round2,0.18,0.2261415525,0.04614155251,0.04614155251
catboost_round2,0.19,0.2357305936,0.04573059361,0.04573059361
catboost_round2,0.2,0.2445205479,0.04452054795,0.04452054795
catboost_round2,0.21,0.25456621,0.04456621005,0.04456621005
catboost_round2,0.22,0.2630136986,0.04301369863,0.04301369863
catboost_round2,0.23,0.2698630137,0.0398630137,0.0398630137
catboost_round2,0.24,0.2784246575,0.03842465753,0.03842465753
catboost_round2,0.25,0.2858447489,0.03584474886,0.03584474886
catboost_round2,0.26,0.2948630137,0.0348630137,0.0348630137
catboost_round2,0.27,0.3050228311,0.03502283105,0.03502283105
catboost_round2,0.28,0.3130136986,0.03301369863,0.03301369863
catboost_round2,0.29,0.3220319635,0.03203196347,0.03203196347
catboost_round2,0.3,0.3307077626,0.03070776256,0.03070776256
catboost_round2,0.31,0.3399543379,0.0299543379,0.0299543379
catboost_round2,0.32,0.348630137,0.02863013699,0.02863013699
catboost_round2,0.33,0.3563926941,0.02639269406,0.02639269406
catboost_round2,0.34,0.3696347032,0.0296347032,0.0296347032
catboost_round2,0.35,0.3778538813,0.02785388128,0.02785388128
catboost_round2,0.36,0.3834474886,0.02344748858,0.02344748858
catboost_round2,0.37,0.3913242009,0.02132420091,0.02132420091
catboost_round2,0.38,0.4,0.02,0.02
catboost_round2,0.39,0.4075342466,0.01753424658,0.01753424658
catboost_round2,0.4,0.4140410959,0.01404109589,0.01404109589
catboost_round2,0.41,0.4220319635,0.01203196347,0.01203196347
catboost_round2,0.42,0.4310502283,0.01105022831,0.01105022831
catboost_round2,0.43,0.4402968037,0.01029680365,0.01029680365
catboost_round2,0.44,0.4487442922,0.008744292237,0.008744292237
catboost_round2,0.45,0.4573059361,0.007305936073,0.007305936073
catboost_round2,0.46,0.4665525114,0.006552511416,0.006552511416
catboost_round2,0.47,0.4760273973,0.00602739726,0.00602739726
catboost_round2,0.48,0.4881278539,0.008127853881,0.008127853881
catboost_round2,0.49,0.4940639269,0.004063926941,0.004063926941
catboost_round2,0.5,0.500456621,0.0004566210046,0.0004566210046
catboost_round2,0.51,0.523630137,0.01363013699,0.01363013699
catboost_round2,0.52,0.5300228311,0.01002283105,0.01002283105
catboost_round2,0.53,0.5389269406,0.008926940639,0.008926940639
catboost_round2,0.54,0.547716895,0.007716894977,0.007716894977
catboost_round2,0.55,0.5560502283,0.006050228311,0.006050228311
catboost_round2,0.56,0.5644977169,0.004497716895,0.004497716895
catboost_round2,0.57,0.5739726027,0.00397260274,0.00397260274
catboost_round2,0.58,0.5819634703,0.00196347032,0.00196347032
catboost_round2,0.59,0.5896118721,-0.0003881278539,0.0003881278539
catboost_round2,0.6,0.5961187215,-0.003881278539,0.003881278539
catboost_round2,0.61,0.6038812785,-0.006118721461,0.006118721461
catboost_round2,0.62,0.6121004566,-0.007899543379,0.007899543379
catboost_round2,0.63,0.6210045662,-0.00899543379,0.00899543379
catboost_round2,0.64,0.6294520548,-0.01054794521,0.01054794521
catboost_round2,0.65,0.6386986301,-0.01130136986,0.01130136986
catboost_round2,0.66,0.6498858447,-0.01011415525,0.01011415525
catboost_round2,0.67,0.6647260274,-0.005273972603,0.005273972603
catboost_round2,0.68,0.6732876712,-0.006712328767,0.006712328767
catboost_round2,0.69,0.6811643836,-0.008835616438,0.008835616438
catboost_round2,0.7,0.6892694064,-0.01073059361,0.01073059361
catboost_round2,0.71,0.6988584475,-0.01114155251,0.01114155251
catboost_round2,0.72,0.7066210046,-0.01337899543,0.01337899543
catboost_round2,0.73,0.7150684932,-0.01493150685,0.01493150685
